"Qty";"Value";"Device";"Package";"Parts";"Description";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"COLOUR";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"FORWARD_CURRENT";"FORWARD_VOLTAGE";"HEIGHT";"LEAD_FREE";"LED_ORIENTATION";"LUMINOUS_INTENSITY";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"REVERSE_VOLTAGE";"ROHS";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TP_SIGNAL_NAME";"VENDOR";"VERIFICATION_VERSION";"VIEWING_ANGLE";"WAVELENGTH";
"1";"4.7uH";"L-EUL4035M";"L4035M";"L2";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"L";"";"";"";"";"";"";"";
"1";"40.2k Ohm";"R-EU_R0402";"R0402";"R104";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";
"1";"74LVC2T45GS,115";"74LVC2T45GS,115";"74AXP2T3407GSX";"IC3";"74LVC2T45; 74LVCH2T45 - Dual supply translating transceiver; 3-state@en-us";"";"";"";"";"";"74LVC2T45";" 74LVCH2T45 - Dual supply translating transceiver";" 3-state@en-us";"";"";"";"";"";"";"";"0.35mm";"";"";"";"Nexperia";"74LVC2T45GS,115";"";"";"";"";"";"771-74LVC2T45GS115";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-74LVC2T45GS115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"74LVCH1T45GS,132";"74LVCH1T45GS,132";"74LVC1G3157GS132";"IC4, IC7, IC8";"74LVC1T45; 74LVCH1T45 - Dual supply translating transceiver; 3-state@en-us";"";"";"";"";"";"74LVC1T45";" 74LVCH1T45 - Dual supply translating transceiver";" 3-state@en-us";"";"";"";"";"";"";"";"0.35mm";"";"";"";"Nexperia";"74LVCH1T45GS,132";"";"";"";"";"";"771-74LVCH1T45GS132";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-74LVCH1T45GS132";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"BAT60J";"BAT60J";"SOD323_ST";"D6, D7";"Schottky barrier diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CSTCE8M00G55-R0";"CSTCE8M00G55-R0";"CSTCE12M0G55-R0";"R80";"SMT ceramic resonator 8.0MHz CSTCE8M00G55-R0, Ceramic Resonator, 8MHz Fundamental 33pF, 3-Pin Cap Chip, 3.2 x 1.3 x 0.7mm";"";"";"";"";"";"SMT ceramic resonator 8.0MHz CSTCE8M00G55-R0, Ceramic Resonator, 8MHz Fundamental 33pF, 3-Pin Cap Chip, 3.2 x 1.3 x 0.7mm";"";"";"";"";"";"";"";"mm";"";"";"";"Murata Electronics";"CSTCE8M00G55-R0";"";"";"";"";"";"81-CSTCE8M00G55-R0";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-CSTCE8M00G55-R0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DX4R205JJAR1800";"DX4R205JJAR1800";"JAE_DX4R205JJAR1800";"J2";"CONN RCPT MICRO USB 2.0 AB";"";"";"";"";"";" DX4 series, receptacle, on-board, right-angle standard mount, surface mount ";"";"";"";"670-2677-1-ND";"https://www.digikey.com/product-detail/en/jae-electronics/DX4R205JJAR1800/670-2677-1-ND/3903237?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"";"";"";"JAE Electronics";"";"";"";"";"";"DX4R205JJAR1800";"";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FA-128";"FA-128";"FA-128";"Q1";"MHz RANGE CRYSTAL UNIT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FC-12M";"FC-12M";"FC-12M";"Q3";"kHz RANGE CRYSTAL UNIT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"IS42S16160J-6BLI";"IS42S16160J-6BLI";"BGA54C80P9X9_800X800X120";"IC1";"DRAM 256M, 3.3V, SDRAM, 16Mx16, 166Mhz, 54 ball BGA (8mmx8mm) RoHS, IT";"";"";"";"";"";"DRAM 256M, 3.3V, SDRAM, 16Mx16, 166Mhz, 54 ball BGA (8mmx8mm) RoHS, IT";"";"";"";"";"";"";"";"1.2mm";"";"";"";"Integrated Silicon Solution Inc.";"IS42S16160J-6BLI";"";"";"";"";"";"870-42S16160J6BLI";"https://www.mouser.com/Search/Refine.aspx?Keyword=870-42S16160J6BLI";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
